,job title,company,location,applicants,days ago,body,seniority level,employment type,function,industry,links
353,"Director, Data Engineering",TURNER,"New York, NY",Be among the first 25 applicants,1 week ago,"Company Overview

WarnerMedia is a leading media and entertainment company that creates and distributes premium and popular content from a diverse array of talented storytellers and journalists to global audiences through its consumer brands including: HBO, HBO Now, HBO Max, Warner Bros., TNT, TBS, truTV, CNN, DC Entertainment, New Line, Cartoon Network, Adult Swim, Turner Classic Movies and others.

Req ID: 177461

We are CNN. THE WORLD'S MOST ESSENTIAL AND ENGAGING SOURCE OF DIGITAL NEWS. We are in the midst of rapid transformation and need you to help us find the next generation of innovators, makers, and dreamers who will lead and drive our growth. We aim to make the world a better, more connected place. Join us!


We are seeking a Director of Data Engineering to join CNN's Data Intelligence (DI) team. Our core team is made up of Machine Learning (ML) engineers and data scientists who are building and deploying ML solutions for CNN's editorial, consumer experience, and monetization teams. The Director of Data Engineering will play a critical leadership role at the nexus of all of these teams. She/he will be responsible for planning and executing the engineering needs for the relevance and recommendations capabilities, which focus on growing and deepening user engagement across CNN's user base. This will include a multi-modal, real-time content recommendation system to be deployed across all CNN content verticals and consumer experience platforms (web, mobile, and streaming TV). Additional work streams across CNN DI include data and privacy governance, building user registration and a unified view of CNN users across devices, data ingestion and infrastructure set up that supports a centralized data lake, and building ML platforms and APIs in close collaboration with the data scientists. We are looking for an Engineering Manager with experience in data engineering to help support our engineers as they build and maintain scalable and reliable data pipelines. The position requires someone who is comfortable striking a balance between cutting-edge and pragmatic solutions. You'll lead and nurture a team of engineers and partner with data scientists, architects, product managers, delivery managers, and other groups within CNN to increase our data capabilities and facilitate technical innovation.





Preferred Skills


Warner Media, LLC and its subsidiaries are equal opportunity employers. Qualified candidates will receive consideration for employment without regard to race, color, religion, national origin, gender, sexual orientation, gender identity or expression, age, mental or physical disability, and genetic information, marital status, citizenship status, military status, protected veteran status or any other category protected by law.",Director,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/director-data-engineering-at-turner-1901616842?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=4&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
354,VP of Data Science,Bestow Life Insurance,"Dallas, TX",Be among the first 25 applicants,,"Who We Are

Bestow is a digital life insurance company built on full stack technology and AI. In a world in need of greater financial resilience and protection, Bestow democratizes access to smart financial products and powers some of the world’s leading consumer platforms. We are reimagining and rebuilding a 400-year-old, $7 trillion industry to create a brighter future for millions of families. And we’re just getting started.

The Bestow team is a diverse band of first principles thinkers on a mission to do good. We’re fortunate to be backed by leading investors and partners including Valar Ventures, NEA, 8VC and MunichRe.

Do you love data and the science of data? Are you super passionate about creating solutions that will help protect people and their families? If yes, then you are in the right place.

Bestow is hiring for a VP of Data Science who takes action around issues that impact peoples lives. We need a leader that is highly motivated and wants to join our family of Bestowers and is looking to build great things together.

As the VP of Data Science & Analytics, you will be responsible for collecting, managing, and analyzing user data and product data to provide intelligent and data driven solutions for our business needs.

You will manage and work along side very talented and smart team of data analysts, data engineers and data scientists. We are a market leader in revolutionizing the way insurance is sold online and we need a leader that will promote our data-focused culture.

You will act as a key stakeholder in enhancing our data technologies. This position reports directly to our Chief Experience Officer and is expected to have a high impact on the organization.










We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Bestow does not currently sponsor applicants for work visas.",Executive,Full-time,Other,Computer Software,https://www.linkedin.com/jobs/view/vp-of-data-science-at-bestow-life-insurance-1887497161?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=5&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
355,Data Scientist,Lorven Technologies Inc,"New York, NY",Be among the first 25 applicants,1 month ago,"Use statistical analysis, machine learning, pattern recognition, and data visualization along with domain knowledge and subject-specific models to solve science, engineering, and commercial problems",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-lorven-technologies-inc-1890791785?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=6&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
356,Senior Data Scientist / Analyst,TRG,"Sterling Heights, MI",,1 day ago,"Senior Data Scientist / Analyst

Roles & Responsibilities

Responsible for collection, cleaning and munging of data to meet business needs.

Research and develop statistical learning models for data analysis

Continuous collaboration with corporate stakeholders from our Executive team, product

management and engineering, service and warranty to understand company needs and device

possible solutions

Communication of results and ideas to key decision makers and customers

Implement new statistical or other mathematical methodologies as needed for specific models

or analysis

Work with frontend and backend developers to optimize database use and project design

Keep up-to-date with latest technology trends, ability to experiment with and implement

various AI and machine learning solutions



Master’s degree in Computer Sciences, Statistics, Applied Math or similar/equivalent job

experience.

5+ years of practical experience with SAS, ETL, data processing and data analytics

Extensive background in data mining and statistical analysis

Able to understand various data structures and common methods in data transformation Excellent pattern recognition and predictive modeling skills

Programming experience a plus

Big data experience is a plus

Ability to work independently, self-motivated problem solving

Excellent collaboration and communication skills in a corporate environment

Ability to find patters in related and seemingly unrelated data



Statistical languages such as SAS

Programming languages such as R, Python, KNIME, Gawk, Weka, Scala

Apache Hadoop

Familiarity with no-code tools such as Rapid Miner, Data Robot, Trifacta

Proficient in user community developed libraries such as Matlab and Lambdas",Mid-Senior level,Full-time,Other,Information Technology and Services,https://www.linkedin.com/jobs/view/senior-data-scientist-analyst-at-trg-1888127550?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=7&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
357,Data Analyst,UST Global,"Louisville, KY",,3 days ago,"Data Engineer

Data Engineers will help develop cloud native solutions, leveraging Google Cloud Platform APIs and Services and are able to code in languages and frameworks that fit into that ecosystem Python, Golang, Node, .Net Core C , and Java. In addition, our cloud native automation infrastructure allows you to quickly deploy and iterate on your code.
As a Senior Data Engineer at UST Global,
We believe that both a high quality team and high quality code are critical pieces of our mission. You will be responsible to bring customer s engaging customer facing experience and features to life with APIs and data that power it. You will work collaboratively with architects and other engineers at customer side to recommend, prototype, build and debug data infrastructures on Google Cloud Platform GCP . You will design data models, build APIs, devise the data pipelines and figure out the scaling strategy for our data stores.
Working closely with customer s product and interoperability team, you will focus on building data stores, APIs and microservices from the ground up that help power the rich and intuitive user experience following an agile work environment governed through SAFe. Furthermore, you will work with our analytics team to build an analytics ecosystem to build analytics stores, data pipelines and integrations to support our deep analytics models and generate a feedback loop to provide valuable insights.

You bring


For this role, we value
Essentials


Desirables



Overall Experience level 10 years in IT with min 5 years Database Development experience
Location This position will be based in Louisville, KY, USA.

Relevant Degree

UST Global is a private high growth organization headquartered in Orange County California and is a leading provider of Advanced Computing and Digital Services for Global 1000 companies worldwide. Our next-generation digital consultancy is the ideal place for you to grow your career. Are you up for the challenge? Read on!



US-KY-Louisville



Regular Employee



Full-time



Mar 24, 2020, 6:52:20 AM

UST-Global is an Equal Opportunity Employer",Entry level,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-analyst-at-ust-global-1827330326?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=8&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
358,Data Engineer,Smith Hanley Associates,"Arlington, VA",,1 week ago,"Title: Data Engineer
Location: Arlington, VA
Salary: $80,000 - 100,000  
Contact: Paul Chatlos, pchatlos@smithhanley.com















 ",Mid-Senior level,Full-time,Marketing,Analyst,https://www.linkedin.com/jobs/view/data-engineer-at-smith-hanley-associates-1899847627?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=9&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
359,Data Architect,truData Solutions,"Los Angeles, CA",Be among the first 25 applicants,,"Title: Data Architect
Start Date: ASAP - June 2020
Duration:  3 months (plus extension)
Location:  Remote (Client Location will be provided)
Description:",Mid-Senior level,Contract,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/data-architect-at-trudata-solutions-1887484865?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=10&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
360,Business Intelligence Analyst,"MDLIVE, Inc.","Chicago, IL",Over 200 applicants,2 weeks ago,"As we prepare for our next phase of growth, you will act as a critical member of the team and will have the ability to participate in challenging projects as well as gain exposure to multiple areas of the business. The Business Intelligence Analyst is responsible for championing a data-driven culture across MDLIVE. The successful candidate must love using data to solve complex business problems and finding powerful ways to visualize data and insights.

The Analyst will build out an efficient analytics data suite, create impactful dashboards to drive performance and enable self-service insight delivery. You will be known as the subject matter expert for all critical data needs across the company.



This team member will build strong working relationships with data engineers, data scientists, operations, product managers, and account managers to ensure that the right information is available and accessible to build and track key metrics to inform business decisions.

Most importantly, you will be part of an entrepreneurial, agile and fast-paced team that also knows how to have fun! Read: happy hours, meaningful involvement in the community, unlimited PTO, free coffee (#nomore3pmslump), incredible growth opportunities and of course great compensation and benefits!



Interested? Let’s talk. Submit your application today and come join us in our journey to disrupt healthcare!",Associate,Full-time,Business Development,Sales,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-mdlive-inc-1865627434?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=11&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
361,Data Scientist,TA Digital,"New York, NY",Over 200 applicants,6 months ago,"Description

Location: Anywhere in the US or Canada | Location Preferences - New York, New Jersey, Toronto, Los Angeles, Bay Area, Phoenix, Denver, Chicago or Dallas | Travel Amount 30 - 50%

TA Digital is a digital transformation agency with 30-40% growth year-over-year focused on hiring leaders within the digital marketing space to support growth and build a scalable foundation for the future. Our vision is to provide innovative digital solutions and services by continuing to expand our leadership team and hiring superstars who may feel lost or marginalized within their current organizations.



…then you should consider TA Digital because we are ready to talk to you!











Base Salary, Bonus, Benefits: Global Health, Dental, Vision, AD&D Insurance, Vacation / PTO / Holiday pay plus matching 401K, Tuition & Travel Expense Reimbursement as needed



TA Digital is the only global boutique digital transformation agency that helps organizations realize immediate and long-lasting value through exceptional user experience and data-driven methodology. For nearly two decades, we’ve helped clients overcome the lack of scale and resource diversity of small regional agencies and the quantity-not-quality approach of large system integrators. For 20 years, we have been known as a global leader that helps marketing and technology executives understand the digital ecosystem, identify operational gaps within their organization and finally ushering them into a more mature and profitable digital landscape.

TA Digital has high-level strategic partnerships with digital experience platform companies like Adobe, SAP and Salesforce. TA Digital also has global partnerships with industry leaders like Sitecore, Episerver, Elastic Path, BigCommerce, AWS, Azure and Coveo. The company was also recognized in 2013, 2014, 2015, and 2019 by Inc.com 5000 list as one of the most successful technology companies in the United States.

TA Digital has offices in US, Canada, UK and India. For more information, visit: www.tadigital.com

EOE & OFCCP Compliant regardless of: Minority / Female / Veteran / Disabled / Sexual Orientation / Gender Identity / National Origin",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-ta-digital-1660409359?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=12&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
362,Junior Quality Engineer,Medical Device Manufacturing,"Mahwah, NJ",,6 days ago,"Contract Opportunity- Benefits Offered

Junior Quality Engineer- leading medical device company

Analyze post market data to identify any potential safety signals that may alter the benefit-risk assessment of product on the market

Bachelor’s Degree in Engineering or related field of study.

Company is one of the world’s leading medical technology companies and is dedicated to helping healthcare professionals perform their jobs more efficiently while enhancing patient care. Offering a diverse array of innovative medical technologies, including reconstructive, medical and surgical, and neuro-technology & spine products to help people lead more active and more satisfying lives",Entry level,Full-time,Quality Assurance,Information Technology and Services,https://www.linkedin.com/jobs/view/junior-quality-engineer-at-medical-device-manufacturing-1905626211?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=13&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
363,"Principal Data Analyst, Sales Operations",HubSpot,"Coquille, OR",Over 200 applicants,6 days ago,"HubSpot’s Sales Operations team is looking for candidates who are interested in changing the way companies do business from the inside out. HubSpot is looking for a Data Analyst who will work on our analytics team, which produces the data and insights required to make strategic decisions and run the organization. You will define the data requirements and reporting infrastructure to accelerate Sales growth and improve sales rep productivity. The focus of this work will be designing and executing strategic reporting initiatives as well as providing operational and analytical support for high growth sales segments.










HubSpot judges candidates on potential, not a list of skills.







HubSpot helps millions of organizations grow better, and we’d love to grow better with you. Our business builds the software and systems that power the world’s small to medium-sized businesses. Our company culture builds connections, careers, and employee growth. How? By creating a workplace that values flexibility, autonomy, and transparency. If that sounds like something you’d like to be part of, we’d love to hear from you.

You can find out more about our company culture in the HubSpot Culture Code, which has more than 4M views, and learn about our commitment to creating a diverse and inclusive workplace, too. Thanks to the work of every HubSpotter globally who has helped build our remarkable culture, HubSpot has been named a top workplace by Glassdoor, Fortune, Entrepreneur, and more.

HubSpot was founded in 2006. We’re headquartered in Cambridge, Massachusetts, and we have offices in Dublin (Ireland), Sydney (Australia), New Hampshire, Singapore, Tokyo (Japan), Berlin (Germany), and Bogotá (Colombia).

By submitting your application, you agree that HubSpot may collect your personal data for recruiting, global organization planning, and related purposes. HubSpot's Recruiting Privacy Notice explains what personal information we may process, where we may process your personal information, our purposes for processing your personal information, and the rights you can exercise over HubSpot’s use of your personal information.",Associate,Full-time,Information Technology,Information Technology and Services,https://www.linkedin.com/jobs/view/principal-data-analyst-sales-operations-at-hubspot-1864050803?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=14&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
364,Capabilities & Insights Analyst - Electric Power & Natural Gas,McKinsey & Company,Greater Boston,Be among the first 25 applicants,,"Apply Now

Qualifications
A degree in Business, Economics, Engineering or related fields



You will join the Waltham, MA office, and be part of our Global Electric Power & Natural Gas Capabilities & Insights team.

The Electric Power & Natural Gas (EPNG) team includes ~20 professionals who work alongside our consultants and clients to generate distinctive insights and proprietary knowledge.You will also be part of our global Client Capabilities Network, which includes more than 2,000 colleagues, who bring a wide spectrum of capabilities, including Knowledge Consulting, Analytics Consulting and Data Engineering, Research, Client Development and Practice Management. You will work with this group to help develop, codify, sanitize, and manage our global knowledge.

Within our EPNG Capabilities & Insights network, you'll be working on strategic, analytical, and operational topics, with a likely focus on strategy/corporate finance, transmission & distribution (T&D) or retail markets. You will be working with a group of McKinsey partners and consultants that are actively working to solve strategic topics in electricity and gas markets. As you develop professionally in the role, you will have the opportunity to serve clients directly, further develop and own proprietary tools and knowledge for McKinsey, and mentor more junior colleagues.


You will leverage a solid understanding of business and technology trends, issues, and concepts in the power and gas industry to efficiently respond to complex research questions by researching and synthesizing actionable facts and insights to our consulting teams and clients.

You will also have the opportunity to work alongside senior knowledge professionals on larger client facing projects and internal knowledge initiatives. By collecting and analyzing data and information found in databases and/or other primary and secondary research tools, you will assemble the relevant fact base, counsel consultants and clients on the scope of the business, the operations, technology, strategic and economic trends surrounding the issue, and provide insights and analysis for solving client problems at hand.

Some of your day-to-day tasks will include identifying the key issues for the problem at hand and determining the most appropriate solution while effectively balancing quality, availability, timeliness, and cost factors. You’ll perform a variety of analyses such as benchmarking, trend identification, industry profiling, market sizing, growth projections, opportunity scanning, etc., in order to add value to problem-solving discussions, and you’ll provide synthesis, insight and client implications within tight deadlines via end products in the form of PowerPoint charts, written memos, models and frameworks.

In time, you will also participate in, and eventually lead, internal knowledge development and capability-building initiatives and you’ll use advanced analytics tools to prepare and analyze large datasets to distill insights.",Entry level,Full-time,Analyst,Consulting,https://www.linkedin.com/jobs/view/capabilities-insights-analyst-electric-power-natural-gas-at-mckinsey-company-1888173919?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=15&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
365,Data Scientist,Empower Professionals Inc,"Avenel, NJ",Be among the first 25 applicants,1 month ago,"Role: Data Scientist with Kafka, Machine Learning, Python Scripting
Location: Atlanta, GA
Duration: 12+ Months

Note: Minimum 5 Years of experience",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/data-scientist-at-empower-professionals-inc-1900681374?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=16&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
366,Data Engineer,Ready Responders,"California, United States",Be among the first 25 applicants,1 day ago,"About Us
Ready Responders was founded in 2016 with the mission of giving patients direct access to healthcare professionals in their homes and giving Responders the opportunity to provide care in their communities. Responders travel to patient homes seeking non-emergency medical attention, utilizing technology to connect with advanced providers.",Associate,Full-time,Information Technology,Hospital & Health Care,https://www.linkedin.com/jobs/view/data-engineer-at-ready-responders-1911577276?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=17&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
367,Business Intelligence Analyst,JBCStyle Fashion Recruiters,"Brooklyn, NY",Be among the first 25 applicants,4 weeks ago,"Job Description

Title of Job: Business Intelligence Analyst

Company Description: Digital Pharmacy Company

Brooklyn, NY



The Business Intelligence Analyst that will help build our data infrastructure to drive the understanding of key performance metrics across the business. This is a high impact role that will work with leaders across the business and drive decision-making across key operational workflows (i.e., prescription processing, inventory management), product, user acquisition, retention and marketing performance.


DOE",Associate,Full-time,Business Development,Sales,https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-jbcstyle-fashion-recruiters-1863105884?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=18&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
368,Director of Data Engineering,Nigel Frank International,"New York, NY",Be among the first 25 applicants,1 month ago,"I am running an executive search for one of our key clients in the Los Angeles area, and they are seeking a candidate to enter a director level position. They are looking for someone with an extremely strong background in Data Engineering and someone with a successful track record and years-worth of leadership within digital transformation and analytics.







If this sounds like an opportunity you would be interested in I would love to go over more details of my client with you.",Director,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/director-of-data-engineering-at-nigel-frank-international-1860351411?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=19&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
369,Validation Engineer,Scientific Search,"Morristown, NJ",,2 days ago,"Job Description: Develop Qualification master plans, process flow diagrams, test cases, and standard operating procedures. Develop qualification documents, functional and design specifications, test protocols (IQ,OQ,PQ), and summary reports supplementing documentation provided by suppliers/contractors/OEM’s. Review Qualification or test plans issued by the suppliers/contractors for completeness and correctness. Work in a team environment. Execution of test protocols including identification and resolution of non- conformances/deviations. Conduct qualification tests of new or existing equipment, or software in accordance with internal protocols or external standards. Analyze data to perform assessment of current qualification state of equipment/facilities. Implement Risk management and assessment techniques to highlight critical equipment, identify failure modes (FEMA) and implement strong controls for risk mitigation. Prepare, maintain, or review engineering compliance documentation such as engineering change orders, schematics or protocols. Assist in training equipment operators or other staff on qualification protocols and standard operating procedures. Create, populate or maintain databases for tracking qualification activities, test results or validated systems. Prepare detailed reports or design documents based on results of qualification tests or reviews of procedures and protocols. The ideal candidates MUST also have experience with Solid Oral Dosage Manufacturing Equipment.",Entry level,Full-time,Quality Assurance,Biotechnology,https://www.linkedin.com/jobs/view/validation-engineer-at-scientific-search-1909900256?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=20&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
370,Director of Product,Real Geeks,"Dallas, TX",,2 days ago,Our mission is to help real estate agents grow their businesses and thrive. We are making large investments in the next generation of our platform and tools. And we are looking for a product leader to play a pivotal role in shaping a vision and strategy that will continue to deliver on that mission.,Director,Full-time,Product Management,Computer Software,https://www.linkedin.com/jobs/view/director-of-product-at-real-geeks-1909760990?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=21&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
371,"Senior Manager, Business Intelligence",Landing,San Francisco Bay Area,Over 200 applicants,4 weeks ago,"We’re redefining home, and setting a new standard of living. One apartment at a time.
 Landing membership grants access to a global network of fully finished apartments with flexible leases and streamlined, custom, all-inclusive amenities that allow for living easy and moving freely. Because settling in shouldn’t have to mean settling down.",Mid-Senior level,Full-time,Analyst,Strategy/Planning,https://www.linkedin.com/jobs/view/senior-manager-business-intelligence-at-landing-1873867776?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=22&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
372,Director of Data Engineering,Nu Skin,"Provo, UT",Be among the first 25 applicants,2 weeks ago,"Director of Data Engineering


We are hiring for a Full-Time, Director of Data Engineering at our downtown campus.



Nu Skin was founded in 1984 by a group of friends who wanted to innovate the world of skin care and help people succeed. They built a line of personal care products made from premium formulas, then crafted it into an opportunity for emerging entrepreneurs. It's that love of our products, desire for growth, and real passion for helping others that has kept the company growing for over 35 years.

Today Nu Skin is a leader in the personal care and nutritional supplement industries and an equal opportunity employer operating in nearly 50 markets across the globe. We commit to building an atmosphere that promotes a culture of doing good while providing personal and professional growth and development.



Data, and how they are used, play a central role at Nu Skin and are at the heart of how we make business, product, content, and operational decisions. Our growing Data Platform and Science team sits at the core of the company and collaborates with a variety of departments to drive decisions and provide direction for future growth at Nu Skin. The team tackles challenging problems across many technical disciplines, including time series forecasting, causal inference, optimization, and machine learning. In this role, you and your team will collaborate across the organization to design and deliver high-quality scalable data solutions. You will be accountable for implementing data governance, data integrity, data engineering standards, data integration, and QA best practices. You must be a 'doer' who can execute as well as balance longer-term strategic thinking. You will be part of a team that believes in working fast, being accountable, and learning from mistakes.















































We have a talented executive team that leads with integrity and vision to take us where we need to be. As an employee you will have access to health coaches and our onsite gym, which is open 24/7. We offer competitive compensation packages, comprehensive health benefits, and a generous paid time off policy. Nu Skin also has amazing products that you will be able to try for yourself with a monthly allowance for product.

We are in Provo, Utah, just 45 minutes south of Salt Lake City. Whether you enjoy skiing on the slopes of Park City or exploring the red rocks of Moab, Utah has no shortage of scenic landscape and outdoor activities.

Nu Skin does not accept unsolicited resumes from individual recruiters or third-party recruiting agencies in response to job postings. No fee will be paid for unsolicited candidates submitted directly to hiring managers. All candidates must be submitted by approved vendors who have been requested to make a submission for a specific job opening by our Talent Acquisition team.",Director,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/director-of-data-engineering-at-nu-skin-1890928779?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=23&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
373,Junior Data Scientist,Battelle,"Columbus, OH",,3 months ago,"Battelle is guided by a founding mission. We invest our knowledge, talents and resources, helping our customers achieve their most important goals. We apply scientific rigor and creativity, succeeding where others may fail, and we invest in our communities, making the world better for generations to come. All of us share a common purpose: to solve the greatest challenges of today and tomorrow.

Our 22,000 employees work at the forefront of scientific innovation to tackle critical challenges in security, human health, manufacturing, energy and environmental management. Battelle’s work is grounded in the belief that science, technology and a passion for excellence can make industries more competitive and the world a better place.



Battelle’s Trust and Assurance Cyber Analytics Department is seeking Junior Data Scientists to work in our Columbus, Ohio location.

“From Silicon to Systems” - We are an elite, multi-disciplinary team, bringing together the brightest minds from physics, computer science, electrical engineering, and mathematics to develop unique embedded security solutions for government and industrial customers.
Battelle has been trusted by elite government clients to solve some of the world’s hardest security problems. We work in small agile teams to push the bounds of computing technology. Our high-powered labs include specialized software and hardware, so our engineers have everything they need to invent new Cyber solutions.

Our team is casual putting results over formality. Team members can work flexible hours, and Battelle maintains a 9/80 schedule meaning employees have a chance to take every other Friday off.
We encourage new ideas with our large Internal Research and Development (IRAD) program where engineers work on projects they are passionate about. Inventors and innovators are rewarded by our industry leading IP compensation program. Our group works collaboratively with many parts of Battelle’s larger organization on projects ranging from genomics to robotics.













The above statements are intended to describe the nature and level of work being performed by people assigned to this job. They are not intended to be an exhaustive list of all responsibilities, activities and skills required of staff members. No statement herein is intended to imply any authorities to commit Battelle unless special written permission is granted by Battelle’s Legal Department.



Battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family.



For more information about our other openings, please visit www.battelle.org/careers",Entry level,Full-time,Engineering,Information Technology,https://www.linkedin.com/jobs/view/junior-data-scientist-at-battelle-1834590109?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=24&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
374,Sr. Data Analyst,SeaWorld Parks & Entertainment,"Orlando, FL",Be among the first 25 applicants,,"Are you passionate about turning numbers into real-world results? At SeaWorld, we know the most effective communications are built on a strong foundation of relevant and accurate information. That’s why we’re looking for a gifted data analyst to help drive the impact and success of our marketing efforts.



You will leverage your experience in SQL and relational databases to measure, understand and monitor key business metrics across all SeaWorld’s digital and marketing channels. Must be comfortable working with datasets across a variety of systems and highly organized. As an early member of the analytics team, you’ll have the opportunity to help build and develop how we do analytics as a company. Regular expose to Marketing department leadership, as well as many opportunities for career growth within the organization.",Associate,Full-time,Information Technology,Construction,https://www.linkedin.com/jobs/view/sr-data-analyst-at-seaworld-parks-entertainment-1891506241?refId=fff3c894-1002-434f-8212-1eab56c3f685&position=25&pageNum=14&trk=public_jobs_job-result-card_result-card_full-click
375,Principal Data Engineer,Fullscreen,"Playa Vista, CA",Be among the first 25 applicants,,"Fullscreen Media (a Warner Media / AT&T company) is a global leader in social-first entertainment experiences and services for the world’s top talent, digital influencers, brands and avid fans. We empower talent and brands to build and monetize highly engaged, social-first audiences through best-in-class strategy, creative services, and technology.",Director,Full-time,Engineering,Entertainment,https://www.linkedin.com/jobs/view/principal-data-engineer-at-fullscreen-1887497668?refId=b217cfe7-687f-4424-8500-bb1fd6d2dd0b&position=1&pageNum=15&trk=public_jobs_job-result-card_result-card_full-click
376,Manufacturing Engineer,Confidential,"Dayton, OH",Over 200 applicants,3 weeks ago,"This position supports all aspects of  manufacturing, with the primary focus on existing products and new products in the developmental stages. This support consists of working with Product Development Engineers (PDE’s) in the early phases of PDS to assure manufacturability, as well as improvements to support scale-up of existing products. With this early definition of the production requirements, the Process Development Engineer identifies, evaluates and recommends the required capital equipment, as well as develops any new processes which may be required prior to product release, minimizing the time required to transition to production. Responsibilities:",Mid-Senior level,Full-time,Engineering,Consumer Electronics,https://www.linkedin.com/jobs/view/manufacturing-engineer-at-confidential-1881063002?refId=b217cfe7-687f-4424-8500-bb1fd6d2dd0b&position=2&pageNum=15&trk=public_jobs_job-result-card_result-card_full-click
377,"Process Engineer, Efficiency Program",Air Liquide,"Houston, TX",Over 200 applicants,3 weeks ago,"Job Responsibilities:
The Process Engineer will be part of the Efficiency (AEP) Program reporting to identify technical efficiency improvements opportunities, develop justification for identified opportunities, support the project execution for implementing efficiency opportunities and provide means to track efficiency metrics once opportunities have been put in place. The Process Engineer will have strong interfaces with both the Center for Technical Expertise (CTE) and LEAD Center.",Associate,Full-time,Engineering,Strategy/Planning,https://www.linkedin.com/jobs/view/process-engineer-efficiency-program-at-air-liquide-1881236237?refId=b217cfe7-687f-4424-8500-bb1fd6d2dd0b&position=3&pageNum=15&trk=public_jobs_job-result-card_result-card_full-click
378,Operations Manager,Manhattan Resources,"Wichita, KS",,1 day ago,"The Operations Manager is responsible for balancing On Time Delivery and Quality while doing so in the most efficient manner possible while continuing to challenge the status quo. This candidate should expect 70% of their time being spent with hands on, direct engagement of personnel. The person that will excel in this position will have the ability to balance the needs of the organization while simultaneously understanding their direct reports and when/where to influence to maximize their potential as an individual but more importantly to maximize the capabilities and efficiency of the team itself.",Mid-Senior level,Full-time,General Business,Manufacturing,https://www.linkedin.com/jobs/view/operations-manager-at-manhattan-resources-1911525040?refId=b217cfe7-687f-4424-8500-bb1fd6d2dd0b&position=4&pageNum=15&trk=public_jobs_job-result-card_result-card_full-click
